,0
0,111910.16708364108
1,157650.44792918692
2,190436.90516356262
3,201492.65941364114
4,203912.34614568017
5,173837.54634457058
6,179930.69275067572
7,158531.86357977992
8,197516.61420153116
9,124376.10206861523
10,159807.15708015562
11,102550.14589830858
12,94669.17720963838
13,145672.1263516738
14,107114.13968378384
15,371207.36625852156
16,260351.55430922212
17,318240.9016458387
18,317066.4028267401
19,476727.45867932646
20,313676.90910795156
21,199949.22983993037
22,179930.1978316573
23,160771.48189004918
24,179279.47325767443
25,193074.3512988157
26,341142.3282981856
27,227003.2736152297
28,206324.7802949108
29,262714.0115693481
30,199871.87514120515
31,112536.22791857927
32,189780.09261462177
33,317690.0792949873
34,292201.9107556484
35,253099.68796462665
36,174475.4008167652
37,182129.18598994653
38,170216.87401083426
39,147214.4887758391
40,187115.29805167858
41,125888.00845465218
42,313175.97261733207
43,231254.6703425209
44,224804.67339811308
45,192686.6485964285
46,258669.9028389025
47,200665.70616173264
48,153458.76481107745
49,140218.85332265944
50,164356.21841420204
51,178464.32224216126
52,156490.7474216906
53,193763.94687793736
54,210673.23980597258
55,150736.83989171236
56,178537.70331209985
57,111859.9510757474
58,214949.39324314173
59,133556.61521073742
60,137152.6864937201
61,174902.677635057
62,114509.99627143188
63,111956.3867698056
64,119103.84849932403
65,99476.2223937242
66,104306.90946394976
67,127345.11881212832
68,159593.54685923923
69,208523.72970745937
70,135068.77780767428
71,119115.29464378176
72,160674.06188872823
73,131603.22881359686
74,154244.32173410046
75,97732.00819319187
76,55834.667076893966
77,157612.6379788071
78,227225.44245153875
79,155057.94194907256
80,148386.1984230398
81,153635.97225516726
82,191375.9346444232
83,76620.51132634943
84,119268.07976896284
85,128834.58458163947
86,133847.78074912913
87,153809.01211157424
88,129026.45328350001
89,144687.29886992642
90,119723.97511234877
91,164891.53712898877
92,178493.29269690925
93,124958.02405024934
94,155527.52352724894
95,52341.65122040297
96,168604.3617084087
97,115142.15741634919
98,50563.90678192326
99,114480.55971858595
100,175235.87364624513
101,128566.50835398785
102,127890.58965784762
103,148669.08105275815
104,152027.88143861276
105,220710.57005538582
106,85175.45948353209
107,222758.49351832806
108,122419.24558680182
109,122354.07303838269
110,66175.76174627451
111,140785.78188536572
112,259344.02000262684
113,142387.69923839328
114,222308.15035767894
115,243285.00463921856
116,179713.07182519772
117,162283.21447758542
118,144466.41280248266
